,seedlot_name,g_oat_per_accession,nPlots,entry
59,NF01404A-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_160,162,4,59
60,NF12AS-100-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_228,162,4,60
61,NF12AS-107-4_2-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_258,162,4,61
62,NF12AS-107-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_359,162,4,62
63,NF12AS-108-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161,162,4,63
64,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,526.5,13,64
65,NF13-4083-4_6-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_83,162,4,65
66,NF13-4126-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_145,162,4,66
67,NF13-4157-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_81,162,4,67
68,NF13-4173-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_116,162,4,68
69,NF13-4214-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_156,162,4,69
70,NF13-4214-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_169,162,4,70
71,NF99414-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,162,4,71
72,NF99414-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378,162,4,72
73,NORA-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_133,162,4,73
74,OKAY-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_14,162,4,74
75,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,526.5,13,75
76,PA7617-3460-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_212,162,4,76
77,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_54,364.5,9,77
78,PA8014-840-CU_2025_Ithaca_WOF_HR_bulk,81,2,78
79,SCLA17030SBSS-57-1_2026_UWON_Entry_23,162,4,79
80,SCLA17080SBS-4-2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_316,162,4,80
81,SCLA17110SBSS-16-1_2026_UWON_Entry_24,162,4,81
82,SCLA18059SSB-33-2_2026_UWON_Entry_25,162,4,82
83,SCLA18073SSB-36-1_2026_UWON_Entry_26,162,4,83
84,SCLA18110SSB-44-2_2026_UWON_Entry_27,162,4,84
85,Savage_2026_UWON_Entry_03,162,4,85
86,TX18OCS9028_2026_UWON_Entry_08,162,4,86
87,TX18OCS9061_2026_UWON_Entry_07,162,4,87
88,TX18OCS9104-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_37,162,4,88
89,TX18OCS9125-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_10,162,4,89
90,TX19CAS0057_2026_UWON_Entry_06,162,4,90
91,TX20CAS1071_2026_UWON_Entry_10,162,4,91
92,TX21CAS2064_2026_UWON_Entry_09,162,4,92
93,WINTOK-CU_2025_Ithaca_WOF_HR_bulk,81,2,93
